Rk,Tm,PF,Sc%,EXP
1,Baltimore Ravens,531,51.8,239.99
2,San Francisco 49ers,479,44.3,140.39
3,Tampa Bay Buccaneers,458,37.9,37
4,New Orleans Saints,458,46.2,163.04
5,Kansas City Chiefs,451,48.8,263.38
6,Dallas Cowboys,434,44.6,210.77
7,New England Patriots,420,36.3,34.62
8,Minnesota Vikings,407,41.6,98.01
9,Seattle Seahawks,405,36.5,86.55
10,Tennessee Titans,402,31.4,115.88
11,Los Angeles Rams,394,35.7,37.09
12,Philadelphia Eagles,385,34.8,59.85
13,Atlanta Falcons,381,40.8,95.51
14,Houston Texans,378,37.9,118.67
15,Green Bay Packers,376,37.3,113.4
16,Arizona Cardinals,361,38.8,64.36
17,Indianapolis Colts,361,36.3,74.8
18,Detroit Lions,341,33.3,31.07
19,New York Giants,341,28.6,-10.3
20,Carolina Panthers,340,32.3,-28.07
21,Los Angeles Chargers,337,38.8,82.43
22,Cleveland Browns,335,33.9,13.54
23,Buffalo Bills,314,30.1,6.66
24,Las Vegas Raiders,313,32.7,79.57
25,Miami Dolphins,306,30.2,-28.85
26,Jacksonville Jaguars,300,33.9,-23.15
27,Pittsburgh Steelers,289,28.9,-85.56
28,Denver Broncos,282,32.4,-14.61
29,Chicago Bears,280,29.1,-41.05
30,Cincinnati Bengals,279,29.8,-60.73
31,New York Jets,276,23.3,-112.92
32,Washington Redskins,266,29.5,-88.3
